Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
LJ Tucker,14,11,102,22*,10.2,99,103.03,0,0,1,10,1
Ammad Uddin,4,4,101,40*,33.66,53,190.56,0,0,0,11,5
MNR Cooray,4,3,101,56*,50.5,77,131.16,0,1,0,12,3
S Jora,6,6,101,53*,20.2,83,121.68,0,1,1,5,4
AV Lalcheta,17,10,101,20,12.62,82,123.17,0,0,0,9,4
Mohammed Nurji,6,5,101,36,50.5,59,171.18,0,0,0,8,6
T Perera,6,6,101,30,16.83,127,79.52,0,0,0,16,0
V Shankar,9,4,101,43,25.25,73,138.35,0,0,0,11,5
Hamza Tariq,15,11,100,33,10,82,121.95,0,0,2,4,5
T Maruma,13,13,100,23*,11.11,109,91.74,0,0,1,6,4
BS Stephenson,3,3,100,48,33.33,72,138.88,0,0,0,9,7
BR Dunk,5,5,99,32,19.8,69,143.47,0,0,0,8,6
BFW de Leede,8,7,98,33,16.33,114,85.96,0,0,0,4,2
Irfan Bhima,4,4,98,52,24.5,88,111.36,0,1,2,13,2
Janak Prakash,12,11,98,25*,12.25,78,125.64,0,0,2,9,3
BR McDermott,12,10,98,32*,14,105,93.33,0,0,2,6,2
TK Musakanda,6,6,98,43,16.33,80,122.5,0,0,2,7,2
BOP Fernando,3,3,97,78*,48.5,73,132.87,0,1,0,10,3
DJ Mitchell,9,9,97,30*,16.16,79,122.78,0,0,0,5,4
Aminuddin Ramly,10,9,97,33,13.85,59,164.4,0,0,1,3,9
S Samarawickrama,7,7,97,32,13.85,93,104.3,0,0,1,9,0
AJ Staal,9,8,97,28*,16.16,79,122.78,0,0,2,5,5
GM Strydom,6,6,97,49,16.16,89,108.98,0,0,2,6,5
Zaheer Ibrahim,13,11,97,27*,12.12,89,108.98,0,0,2,7,5
Ahmed Raza,36,14,96,22,13.71,123,78.04,0,0,1,2,4
Razmal Shigiwal,4,3,96,53,32,78,123.07,0,1,0,3,8
ML Udawatte,8,8,96,25,12,87,110.34,0,0,2,10,2
Shamsudheen Purat,3,3,95,88*,47.5,53,179.24,0,1,1,8,7
HJ Jordaan,4,4,94,37*,31.33,107,87.85,0,0,0,8,0
Mehidy Hasan Miraz,13,11,94,19*,10.44,80,117.5,0,0,2,7,4
JJ Tucker,5,5,94,50*,23.5,97,96.9,0,1,0,11,1
J Cutinho,3,3,93,46,31,98,94.89,0,0,0,7,4
Walid Ghauri,4,4,93,44*,31,80,116.25,0,0,0,10,2
JL Denly,10,9,92,30,11.5,93,98.92,0,0,2,11,1
Anwar Arudin,12,12,91,32,7.58,98,92.85,0,0,3,10,2
JN Mohammed,9,8,90,23*,18,103,87.37,0,0,1,9,1
Muhammad Naeem,5,4,90,42,45,91,98.9,0,0,1,7,1
S Adedeji,6,6,89,51*,22.25,114,78.07,0,1,1,5,2
Mohammad Nadeem,22,13,89,29,8.9,106,83.96,0,0,1,7,0
A Otwani,4,4,89,44,22.25,78,114.1,0,0,0,13,1
A Ferguson,5,3,88,51,44,100,88,0,1,0,5,1
N Madziva,15,10,88,28*,17.6,80,110,0,0,1,4,5
Md Shafiqul Haque,4,4,88,38,22,62,141.93,0,0,0,5,6
Zishan Shah,6,5,88,50,22,87,101.14,0,1,0,7,1
PS Airee,11,11,87,29,7.9,93,93.54,0,0,4,10,1
SC Getkate,14,12,87,24,8.7,73,119.17,0,0,1,4,4
D Pretorius,6,2,87,77*,-,49,177.55,0,1,0,7,4
Raza Iqbal,5,5,87,39,17.4,89,97.75,0,0,0,13,0
AR Gandhi,3,3,86,50,43,98,87.75,0,1,0,5,1
DP Michael,4,4,85,55*,28.33,82,103.65,0,1,1,1,6
AR Nurse,13,8,85,20*,42.5,71,119.71,0,0,0,7,3
MD Patel,8,8,85,26,12.14,88,96.59,0,0,0,6,4
N Khosla,4,4,84,27,21,95,88.42,0,0,0,3,2
IO Okpe,8,8,84,19,10.5,109,77.06,0,0,0,2,2
Afif Hossain,8,7,83,52,11.85,63,131.74,0,1,2,10,1
JH Davey,21,10,83,24,16.6,63,131.74,0,0,0,5,3
PF Gallagher,3,3,83,36,27.66,68,122.05,0,0,0,4,5
Manpreet Singh,8,6,83,36,13.83,98,84.69,0,0,0,10,1
AC Agar,21,7,82,29,13.66,79,103.79,0,0,0,6,3
FA Cossa,6,6,82,19*,20.5,90,91.11,0,0,0,6,4
AK Mohan,5,5,82,41,16.4,72,113.88,0,0,1,9,1
Muhammad Awais,3,3,82,42*,82,59,138.98,0,0,0,12,1
TD Paine,12,9,82,25,10.25,77,106.49,0,0,2,7,3
Shaikh Ashraf,4,4,82,38,20.5,67,122.38,0,0,0,8,3
RM Siri,4,4,82,49*,27.33,80,102.5,0,0,1,6,1
Aaron Jones,8,7,81,39,20.25,81,100,0,0,0,3,2
MO Jones,8,7,81,27,16.2,83,97.59,0,0,0,5,3
Ahsan Abbasi,6,6,80,18,13.33,87,91.95,0,0,0,7,2
DAP Darrell,11,10,80,30*,8.88,95,84.21,0,0,1,1,5
Ijaz Hussain,3,3,80,40,26.66,76,105.26,0,0,0,7,6
RK Paudel,11,10,80,19,10,89,89.88,0,0,0,7,0
CP Rizwan,5,4,80,44,20,73,109.58,0,0,0,10,1
ZE Green,16,11,79,18*,9.87,78,101.28,0,0,1,4,3
Nurul Hasan,9,8,78,30*,19.5,63,123.8,0,0,1,9,0
GG Banner,3,3,77,47,38.5,65,118.46,0,0,0,1,8
Sandeep Goud,12,7,77,31*,19.25,72,106.94,0,0,0,3,3
Shahid Wasif,9,8,77,40,15.4,66,116.66,0,0,1,3,1
SA Wijeyeratne,2,2,77,56,38.5,51,150.98,0,1,0,12,0
T Bavuma,2,2,76,49,76,66,115.15,0,0,0,5,2
DR Hooper,9,8,76,19*,15.2,91,83.51,0,0,1,3,1
HB Kayondo,3,3,76,31,25.33,69,110.14,0,0,0,2,4
Rizwan Mahmood,5,4,76,37,19,61,124.59,0,0,0,3,3
NR Kirton,5,5,75,37*,25,83,90.36,0,0,0,4,1
Hirenkumar Patel,4,4,74,22,18.5,82,90.24,0,0,0,9,1
S Hirugade,6,6,74,35,12.33,86,86.04,0,0,1,8,2
SI Runsewe,6,6,74,27,14.8,87,85.05,0,0,1,4,0
G Venkateswaran,3,3,74,59,37,58,127.58,0,1,0,10,1
J Vira,14,12,74,23,9.25,68,108.82,0,0,1,7,2
NT Broom,11,7,73,36,12.16,68,107.35,0,0,0,8,1
TS Fray,10,10,73,29,8.11,96,76.04,0,0,3,9,0
AR McBrine,19,11,73,14*,12.16,70,104.28,0,0,1,6,1
C Munoz-Mills,9,7,73,29*,18.25,66,110.6,0,0,0,5,3
AM Oyede,8,8,73,39,10.42,104,70.19,0,0,2,5,1
AL Phehlukwayo,23,11,73,27*,12.16,66,110.6,0,0,3,10,1
RA Thomas,8,8,73,18,10.42,95,76.84,0,0,1,7,1
Haroon Mughal,4,4,72,31,18,65,110.76,0,0,0,6,1
Hassan Rasheed,8,7,72,22,10.28,100,72,0,0,0,4,1
A Pusthay,5,5,72,37,14.4,60,120,0,0,0,5,1
AS Wright,8,7,72,43,10.28,84,85.71,0,0,1,6,3
Sahir Naqash,7,5,71,38*,17.75,52,136.53,0,0,2,2,5
T Taylor,6,6,71,19*,17.75,91,78.02,0,0,0,2,5
Abdul Hashmi,8,5,70,31,17.5,66,106.06,0,0,1,4,0
FF Mulivai,4,4,70,48,17.5,37,189.18,0,0,1,2,8
Hafez Farooq,4,4,69,24,17.25,68,101.47,0,0,0,7,2
C Hauptfleisch,5,5,69,42,13.8,85,81.17,0,0,1,4,2
Ibrarul Haq,5,4,69,49,17.25,47,146.8,0,0,1,6,4
TB Sole,9,6,69,33*,17.25,43,160.46,0,0,0,9,1
J Umanath,7,7,69,25,11.5,77,89.61,0,0,1,7,2
R Ankad,8,7,68,40*,17,72,94.44,0,0,2,7,0
AG Cremer,29,19,68,17,5.23,102,66.66,0,0,2,2,0
Dawlat Zadran,34,17,68,13,7.55,42,161.9,0,0,3,4,6
R Escobar,5,4,68,28*,22.66,76,89.47,0,0,0,6,1
AR Patel,11,7,68,20*,17,54,125.92,0,0,0,3,3
Sikander Zulfiqar,11,8,68,18,9.71,68,100,0,0,0,5,0
JNT Vare,8,7,68,38,9.71,71,95.77,0,0,0,4,0
C Viljoen,12,7,68,33,17,70,97.14,0,0,0,7,1
Waqas Khan,8,7,68,33*,17,89,76.4,0,0,1,3,2
Hilal Ahmad,7,7,67,30,13.4,59,113.55,0,0,0,6,1
AJ Michael,4,4,67,23,22.33,69,97.1,0,0,0,5,2
Zawar Farid,4,4,67,55,16.75,53,126.41,0,1,0,5,3
Abraash Khan,7,4,66,22,16.5,60,110,0,0,0,7,1
PHKD Mendis,4,4,66,41,16.5,46,143.47,0,0,1,6,3
Waheed Ahmed,10,9,66,19,13.2,80,82.5,0,0,0,6,2
J Bulele,7,7,65,24,9.28,95,68.42,0,0,1,8,0
SC Kuggeleijn,9,5,65,35*,32.5,30,216.66,0,0,1,4,6
H Lakov,3,3,65,28,21.66,62,104.83,0,0,0,5,0
FA Allen,11,9,64,27,9.14,56,114.28,0,0,2,5,3
Anique Uddin,6,6,64,31,10.66,79,81.01,0,0,0,3,0
Ansar Iqbal,4,4,64,40,16,72,88.88,0,0,0,6,1
B Arora,4,4,64,28,16,64,100,0,0,0,5,3
K Birkenstock,4,2,64,59,32,33,193.93,0,1,0,7,4
S Dube,6,4,64,54,32,42,152.38,0,1,0,3,4
G Manan,3,3,64,29,21.33,52,123.07,0,0,0,11,1
A Natubhai Ahir,3,3,64,30,21.33,59,108.47,0,0,0,10,1
WB Rankin,48,15,64,16*,9.14,74,86.48,0,0,2,3,3
Sadeeq Khan,3,3,64,28,32,42,152.38,0,0,0,3,6
Usman Waheed,6,4,64,28*,21.33,61,104.91,0,0,1,6,1
V Balakrishnan,3,3,63,29*,31.5,82,76.82,0,0,0,6,1
LJ Barker,9,8,63,20,7.87,69,91.3,0,0,3,8,0
Imran Ismail,7,7,63,17,9,58,108.62,0,0,0,7,3
Kuldeep Lal,8,3,63,38,21,41,153.65,0,0,0,3,2
OD Hald,9,8,61,18,8.71,57,107.01,0,0,1,4,2
Hasan Ali,30,10,61,23,12.2,35,174.28,0,0,2,3,5
R Nehonde,7,7,61,26,10.16,79,77.21,0,0,1,3,1
NM Odhiambo,16,8,61,26,10.16,94,64.89,0,0,2,4,1
A Sathya,3,3,61,30,20.33,61,100,0,0,0,3,2
PH Shamdasani,4,4,61,37,20.33,72,84.72,0,0,0,3,1
AJ Tye,26,11,61,20,10.16,55,110.9,0,0,2,4,3
DE Budge,6,4,60,24,30,59,101.69,0,0,0,2,3
J Kila,12,5,60,27*,30,31,193.54,0,0,0,4,5
Mohammad Adnan,5,3,60,38*,-,31,193.54,0,0,0,4,5
Zameer Khan,2,2,60,33,60,61,98.36,0,0,0,4,0
Ariful Haque,9,8,59,18*,14.75,61,96.72,0,0,1,4,0
Hayatullah Niazi,4,4,59,27,19.66,47,125.53,0,0,0,3,3
Mohammad Amir,48,14,59,21*,7.37,72,81.94,0,0,2,2,3
Muhammad Saleem,4,4,59,52,14.75,54,109.25,0,1,0,5,1
AK Perera,6,5,59,16,11.8,65,90.76,0,0,0,5,1
IS Sodhi,40,7,59,15,14.75,56,105.35,0,0,1,4,3
Aamer Ikram,4,4,58,23,14.5,73,79.45,0,0,0,4,4
Abu Hider,13,5,58,22*,58,43,134.88,0,0,0,5,4
D Heyliger,11,7,58,23*,29,42,138.09,0,0,1,2,3
JJ Huo,7,7,58,18,8.28,61,95.08,0,0,1,7,2
DF Jacobs,4,4,58,20,14.5,82,70.73,0,0,0,7,0
K Mendon,6,4,58,39*,-,51,113.72,0,0,0,5,2
Mohamed Azzam,7,6,58,17*,14.5,61,95.08,0,0,1,6,0
Shaheryar Butt,3,3,58,30*,29,55,105.45,0,0,0,3,4
Fayyaz Butt,14,6,57,25*,28.5,48,118.75,0,0,0,4,2
C Jonker,2,2,57,49,28.5,29,196.55,0,0,0,5,3
A Makesh,4,2,57,57,57,41,139.02,0,1,0,3,4
GP Meade,8,5,57,18,11.4,63,90.47,0,0,0,4,1
A Sarma,3,3,57,28,19,67,85.07,0,0,0,3,1
P Sarraf,9,8,57,18,8.14,84,67.85,0,0,3,9,0
AJ Turner,11,7,57,22*,14.25,57,100,0,0,1,1,2
Amjad Sher,5,5,56,24,11.2,36,155.55,0,0,0,1,4
T Banton,3,3,56,31,18.66,34,164.7,0,0,0,6,3
EB Knowles,7,6,56,19,14,54,103.7,0,0,1,7,1
P Manning,6,6,56,28,11.2,89,62.92,0,0,1,4,0
MJ Ross,8,5,56,34,14,42,133.33,0,0,0,2,3
D Ajekun,6,6,55,17,9.16,81,67.9,0,0,0,6,1
MNM Aslam,6,4,55,26,13.75,59,93.22,0,0,1,4,1
C Carter,10,5,55,17,13.75,63,87.3,0,0,0,3,0
PWH de Silva,8,7,55,14*,13.75,50,110,0,0,0,3,0
KM Jarvis,22,12,55,27,7.85,64,85.93,0,0,4,1,4
Mirza Ahsan,5,3,55,51*,55,18,305.55,0,1,0,2,7
OE Newey,7,6,55,23*,11,66,83.33,0,0,1,2,0
R Satheesan,4,3,55,23,27.5,42,130.95,0,0,0,3,4
JW Chilia,14,7,54,23,18,54,100,0,0,0,3,3
M Dixit,3,2,54,38,27,59,91.52,0,0,0,6,2
JSE Dunford,17,9,54,29,9,67,80.59,0,0,3,2,0
MSS Mandy,4,4,54,32,13.5,67,80.59,0,0,0,8,0
SMA Priyanjan,3,3,54,40*,54,62,87.09,0,0,0,1,2
BA King,6,5,53,31,10.6,50,106,0,0,0,6,1
MRJ Watt,35,11,53,14*,10.6,40,132.5,0,0,1,6,1
TS Bharaj,9,8,52,19,6.5,77,67.53,0,0,1,2,0
G Caisley,4,4,52,38,13,60,86.66,0,0,1,3,2
SJ Cotter,4,4,52,25,13,62,83.87,0,0,0,4,1
A Manousis,3,3,52,23,26,49,106.12,0,0,0,5,1
DM Nakrani,4,4,52,19,17.33,48,108.33,0,0,0,2,3
Ovais Yousof,3,3,52,33,17.33,70,74.28,0,0,0,5,0
V Mbazo,4,3,51,27*,25.5,67,76.11,0,0,0,3,0
AU Rashid,40,15,51,9*,7.28,61,83.6,0,0,0,4,0
Md Nurul Huda,5,4,50,30*,25,32,156.25,0,0,0,4,2
MJ Richardson,3,3,50,35*,50,38,131.57,0,0,0,7,0
Ameel Mauroof,10,8,49,15*,12.25,63,77.77,0,0,0,3,0
G Chaturvedi,2,2,49,25,24.5,29,168.96,0,0,0,6,1
A Dananjaya,22,12,49,11*,6.12,57,85.96,0,0,2,6,0
JN Frylinck,14,7,49,19*,16.33,47,104.25,0,0,1,2,1
Junaid Siddiqui,13,7,49,21,12.25,41,119.51,0,0,1,2,2
HG Kuhn,7,6,49,29,12.25,42,116.66,0,0,0,3,2
Nanda Kumar,3,3,49,39,16.33,58,84.48,0,0,1,3,2
Saber Zakhil,3,3,49,18,16.33,35,140,0,0,0,2,3
DC Smith,4,4,49,22,16.33,53,92.45,0,0,0,5,0
S Jamil,3,3,48,24,16,49,97.95,0,0,0,5,2
Muhammad Nadeem,5,3,48,43,16,49,97.95,0,0,0,7,1
MIA Patel,3,2,48,40*,48,44,109.09,0,0,0,6,1
Qalandar Khan,4,3,48,25,16,43,111.62,0,0,0,2,3
YSD Seneveratne,6,6,48,19,8,79,60.75,0,0,1,5,1
J Singye,2,2,48,40,24,64,75,0,0,0,2,0
C Zhuwao,7,7,48,24,6.85,66,72.72,0,0,4,7,1
M Aboagye,3,3,47,24,23.5,53,88.67,0,0,0,3,0
VD Adewoye,7,6,47,23*,11.75,42,111.9,0,0,2,4,2
Delawar Khan,9,8,47,17,6.71,40,117.5,0,0,2,0,4
D Weston,6,6,47,18,7.83,54,87.03,0,0,2,5,1
SA Ahmad,5,3,46,25,23,54,85.18,0,0,0,2,0
K Gupta,4,4,46,19*,15.33,64,71.87,0,0,1,1,0
Z Hoque,3,3,46,20,15.33,35,131.42,0,0,0,4,2
RJ Trott,15,10,46,19,7.66,84,54.76,0,0,2,3,0
Anasim Khan,4,3,45,22,22.5,39,115.38,0,0,0,2,1
S Ateak,3,3,45,26,15,48,93.75,0,0,0,6,1
R Bakum,4,4,45,18,11.25,45,100,0,0,1,4,2
MG Hunter,4,3,45,27,15,61,73.77,0,0,0,2,1
NJ Maddinson,6,4,45,34,11.25,35,128.57,0,0,0,6,1
Mamoon Latif,3,3,45,24,15,52,86.53,0,0,0,2,2
T Munyonga,5,3,45,44,45,34,132.35,0,0,0,3,1
Nazril Rahman,7,4,45,24*,15,45,100,0,0,0,4,0
VE Tembo,6,5,45,20*,15,52,86.53,0,0,0,2,0
Yasar Haroon,4,4,45,29,11.25,62,72.58,0,0,0,4,1
Zohaib Sarwar,4,4,45,33*,15,46,97.82,0,0,2,1,4
Abrar Bilal,3,2,44,41,22,24,183.33,0,0,0,6,2
AJ Ayannaike,3,3,44,33,14.66,43,102.32,0,0,1,4,2
AA Banner,3,2,44,28,22,29,151.72,0,0,0,4,3
L Emilio,5,4,44,23,11,35,125.71,0,0,0,4,1
GF Gomes,7,6,44,28,8.8,46,95.65,0,0,1,6,1
Ismat Ullah,4,4,44,42,11,47,93.61,0,0,1,4,1
S Badree,52,16,43,14*,7.16,65,66.15,0,0,0,1,1
P Baron,5,3,43,27,14.33,38,113.15,0,0,0,0,4
P Mishra,3,3,43,23,21.5,26,165.38,0,0,0,3,4
Mustafizur Rahman,37,15,43,15,4.3,55,78.18,0,0,4,3,3
Saad Bin Zafar,11,4,43,20,14.33,33,130.3,0,0,0,3,2
M Sohel Patel,2,2,43,40,21.5,39,110.25,0,0,0,2,3
F Baaleri,4,4,42,17,10.5,60,70,0,0,0,6,0
Mohamed Mahfooz,11,5,42,16,8.4,53,79.24,0,0,0,3,0
Muaviath Ganee,5,4,42,19,10.5,44,95.45,0,0,0,3,1
LE Plunkett,22,11,42,18,6,34,123.52,0,0,3,3,1
M Sert,4,4,42,16,14,59,71.18,0,0,0,5,0
DC Stovell,6,6,42,18*,8.4,50,84,0,0,1,5,0
JK Vifah,3,3,42,23,14,45,93.33,0,0,0,2,1
KJ Young,3,3,42,27*,42,34,123.52,0,0,0,3,1
Abdul-Shakoor Rahimzei,7,5,41,17,10.25,33,124.24,0,0,0,2,1
Ainool Hafizs,3,3,41,21,13.66,39,105.12,0,0,0,3,1
A Ashokan,2,2,41,34,20.5,29,141.37,0,0,0,2,3
K Joshi,4,3,41,32*,20.5,41,100,0,0,0,4,2
B Mavuta,3,3,41,28,41,23,178.26,0,0,0,3,2
D Muhumuza,4,4,41,28,10.25,36,113.88,0,0,1,3,1
Murid Ekrami,3,2,41,28,20.5,48,85.41,0,0,0,2,0
Amir Hamza,31,9,40,21,10,38,105.26,0,0,1,3,1
TS Chisoro,12,6,40,14*,10,42,95.23,0,0,0,2,2
BCJ Cutting,7,5,40,29,10,27,148.14,0,0,1,2,3
Fitri Sham,15,10,40,15*,6.66,56,71.42,0,0,0,2,0
Imran Bulbulia,3,3,40,32,13.33,42,95.23,0,0,1,4,1
LA Musiani,5,5,40,22,10,60,66.66,0,0,1,4,0
E Packard,4,4,40,26,10,49,81.63,0,0,0,2,1
S Ravikumar,3,3,40,29*,20,44,90.9,0,0,1,3,1
Sahibzada Farhan,3,3,40,39,13.33,46,86.95,0,0,1,2,3
F Stoman,4,4,40,21*,13.33,61,65.57,0,0,0,1,1
Talha Khan,1,1,40,40*,-,41,97.56,0,0,0,4,0
Tariq Aziz,4,4,40,23,13.33,47,85.1,0,0,1,1,2
Imran Khan,4,3,39,36,19.5,32,121.87,0,0,0,2,3
P Silas,4,3,39,20,13,44,88.63,0,0,0,1,1
S Tobgay,2,2,39,24,19.5,58,67.24,0,0,0,1,0
PA van Meekeren,41,9,39,18,4.87,40,97.5,0,0,3,0,3
Ameer Saiyed,4,3,38,22,12.66,47,80.85,0,0,0,4,0
D Kansonkho,7,4,38,21,9.5,47,80.85,0,0,2,5,0
AK Kitchen,5,4,38,16,12.66,32,118.75,0,0,0,3,1
BF Mailata,4,4,38,17,9.5,48,79.16,0,0,0,2,1
Mohammad Amin,4,4,38,15*,19,39,97.43,0,0,0,5,0
H Pragji,4,4,38,30*,12.66,65,58.46,0,0,0,1,0
VD Chandra,3,2,37,26,18.5,30,123.33,0,0,0,3,3
I Danladi,3,2,37,37,18.5,38,97.36,0,0,1,4,1
CJ Delany,4,4,37,21,9.25,60,61.66,0,0,1,2,0
J Hirschi,4,4,37,13,9.25,62,59.67,0,0,0,0,0
AF Ifill,6,6,37,9,7.4,61,60.65,0,0,0,2,1
R Kumar,4,3,37,32,18.5,27,137.03,0,0,0,6,0
D Manani,2,2,37,19*,37,32,115.62,0,0,0,4,1
S Sola,4,3,37,18,12.33,36,102.77,0,0,0,1,3
CA Soper,13,6,37,19,18.5,41,90.24,0,0,0,0,3
BM Wheeler,6,4,37,30,18.5,28,132.14,0,0,0,3,2
TK Curran,15,6,36,14*,18,27,133.33,0,0,0,0,3
J Dunn,4,3,36,23,12,41,87.8,0,0,0,0,1
J Jojo,7,5,36,13,18,27,133.33,0,0,0,1,1
TE Kane,7,3,36,26*,18,23,156.52,0,0,0,5,0
Mohammed Qasim,3,3,36,13*,18,51,70.58,0,0,0,2,0
Mohsin Hub,4,4,36,16*,12,41,87.8,0,0,1,2,0
Abdul Shakoor,6,4,35,20*,17.5,40,87.5,0,0,0,3,0
MP Biddappa,4,2,35,22*,35,47,74.46,0,0,0,1,1
PJ Cummins,25,11,35,13,5,37,94.59,0,0,2,2,1
SM Curran,5,3,35,24,11.66,23,152.17,0,0,0,3,2
CD de Lange,8,3,35,22,11.66,22,159.09,0,0,0,2,2
L Hermida,5,5,35,12,11.66,52,67.3,0,0,0,1,0
JN Malan,2,2,35,33,17.5,37,94.59,0,0,0,3,2
VV Morea,5,5,35,19,7,44,79.54,0,0,1,4,0
Nazakat Ali,2,2,35,25,17.5,31,112.9,0,0,0,1,3
Sultan Ahmed,17,9,35,11,5.83,37,94.59,0,0,3,0,2
DK Anefie,4,4,34,18*,17,38,89.47,0,0,1,2,0
Nadeem Ahmed,24,9,34,10,6.8,55,61.81,0,0,1,2,0
S Rakshit,7,5,34,15,8.5,44,77.27,0,0,1,5,0
Saqib Zulfiqar,6,4,34,18,8.5,43,79.06,0,0,0,1,0
JTS Sumerauer,8,6,34,13,6.8,39,87.17,0,0,0,3,0
W Viraliliu,10,7,34,13*,8.5,26,130.76,0,0,0,3,2
PSP Handscomb,2,2,33,20*,33,33,100,0,0,0,1,0
FJ Klaassen,21,7,33,13,5.5,34,97.05,0,0,1,2,0
CB Mpofu,30,10,33,17*,8.25,40,82.5,0,0,3,3,1
K Nestor,4,4,33,16,11,35,94.28,0,0,0,1,2
I Pandey,4,4,33,22,8.25,50,66,0,0,0,5,0
Simandeep Singh,7,7,33,14*,6.6,32,103.12,0,0,0,2,0
AA Westphal,5,5,33,24,6.6,40,82.5,0,0,0,3,0
Abdul Wahid,5,3,32,17*,16,26,123.07,0,0,0,4,1
KS Bagabena,4,3,32,23*,32,32,100,0,0,1,1,0
LHB Harrington-Myers,4,4,32,17*,10.66,39,82.05,0,0,1,1,1
Khizer Ahmed,5,4,32,18,16,47,68.08,0,0,0,1,0
GH O'Brien,11,6,32,7*,8,38,84.21,0,0,1,1,2
Shiraz Khan,6,5,32,16*,8,27,118.51,0,0,1,2,1
KRP Silva,2,2,32,25,16,12,266.66,0,0,0,2,3
PVD Chameera,19,10,31,12,7.75,40,77.5,0,0,2,3,0
P Chandran,3,3,31,23,10.33,47,65.95,0,0,1,2,1
V Ganesan,4,4,31,15,7.75,42,73.8,0,0,0,0,0
Jasdeep Singh,4,2,31,31,15.5,25,124,0,0,1,0,3
AS Mehmi,3,2,31,21*,31,29,106.89,0,0,0,2,1
RG Mukasa,4,4,31,14,7.75,40,77.5,0,0,0,1,0
VS Padhaal,5,5,31,14,6.2,44,70.45,0,0,0,4,0
D Sheeli,3,3,31,19,10.33,32,96.87,0,0,0,3,0
ACF Stokes,7,5,31,16,6.2,26,119.23,0,0,3,6,0
Tafseer Ali,5,4,31,19,10.33,53,58.49,0,0,0,1,0
Zubaidi Zulkifle,4,4,31,22,7.75,29,106.89,0,0,1,2,2
D Cato,3,3,30,20,10,59,50.84,0,0,0,2,0
LC Le Tissier,9,7,30,9,6,29,103.44,0,0,0,2,0
Mian Mehmood,4,4,29,13,7.25,41,70.73,0,0,1,1,1
SH Obed,12,7,29,9,5.8,41,70.73,0,0,0,1,0
S Rossi,5,4,29,13,9.66,27,107.4,0,0,0,2,1
J Salazar,2,2,29,20*,29,36,80.55,0,0,0,0,0
Taskin Ahmed,19,6,29,15*,9.66,31,93.54,0,0,1,3,1
DT Tiripano,10,6,29,14,7.25,34,85.29,0,0,2,0,2
C Zavoiu,3,2,29,27,14.5,39,74.35,0,0,0,3,0
Ahsan Malik,31,8,28,11*,9.33,30,93.33,0,0,1,1,1
KK Ahuja,8,7,28,8,4,50,56,0,0,1,1,1
EJB Miles,14,4,28,16,14,31,90.32,0,0,0,1,0
A Nehra,27,5,28,22,5.6,39,71.79,0,0,3,1,2
CW Perchard,15,5,28,12,9.33,35,80,0,0,0,0,0
R Pillai,6,5,28,14,7,44,63.63,0,0,1,1,0
Sharafuddin Ashraf,8,4,28,18,9.33,29,96.55,0,0,0,1,1
Ahmed Wardak,9,4,27,20*,13.5,38,71.05,0,0,0,1,0
TP Allen,5,3,27,11*,13.5,17,158.82,0,0,0,0,3
G Bakiweyem,3,2,27,15*,27,30,90,0,0,0,0,0
TC Barker,4,4,27,18,6.75,33,81.81,0,0,0,1,0
DT Christian,16,7,27,9,6.75,28,96.42,0,0,1,2,0
RM Dorji,1,1,27,27,27,23,117.39,0,0,0,0,4
H Fennell,5,5,27,25*,9,23,117.39,0,0,3,4,1
S Hongsi,3,3,27,11*,-,16,168.75,0,0,0,3,1
SS Pathirana,5,5,27,14,5.4,24,112.5,0,0,0,3,0
Shapoor Zadran,34,13,27,13,3.85,65,41.53,0,0,3,0,3
Shoaib Qureshi,5,4,27,12,6.75,34,79.41,0,0,1,2,0
Waqas Ali,2,2,27,14,13.5,31,87.09,0,0,0,0,2
Arsalan Arif,2,1,26,26*,-,11,236.36,0,0,0,5,0
TB de Bruyn,2,2,26,19,13,16,162.5,0,0,0,3,1
R Goodwin,4,4,26,16*,8.66,36,72.22,0,0,1,1,0
Izatullah Dawlatzai,14,3,26,24*,26,16,162.5,0,0,0,2,2
G Kansonkho,6,3,26,22,13,21,123.8,0,0,1,4,0
LN Oluoch,10,6,26,7*,8.66,33,78.78,0,0,0,2,0
E Otieno,18,8,26,8,5.2,48,54.16,0,0,1,0,1
TK Saha,4,4,26,18*,26,23,113.04,0,0,0,1,0
Washington Sundar,18,5,26,14*,13,12,216.66,0,0,1,1,3
C Wright,6,5,26,16*,8.66,31,83.87,0,0,1,2,0
P Agnihotri,2,2,25,19,12.5,36,69.44,0,0,0,2,0
Asrar Ahmed,3,1,25,25,25,27,92.59,0,0,0,2,0
T Jamtsho,2,2,25,19,25,27,92.59,0,0,0,1,1
JH Kiani,4,3,25,13,12.5,36,69.44,0,0,0,2,0
WP Masakadza,12,6,25,6*,8.33,30,83.33,0,0,0,2,0
G Murali,3,3,25,14,8.33,44,56.81,0,0,0,1,0
SA Okpe,8,6,25,12,5,46,54.34,0,0,0,1,0
C Pengkumta,4,3,25,18,25,31,80.64,0,0,0,2,0
Shahbaz Badar,3,3,25,16,8.33,32,78.12,0,0,1,3,0
Sidhant Singh,8,6,25,12,6.25,26,96.15,0,0,1,1,1
A Srivastav,4,4,25,21,6.25,37,67.56,0,0,2,2,0
Tahir Dar,4,2,25,15,12.5,25,100,0,0,0,1,2
