,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,K Pandya,18,18,66.2,1,538,14,38.42,8.11,28.4,1,0,1
1,M Jansen,61,56,168,0,2856,62,46.06,17,16,2,1,1
2,R Chahar,1,1,3,0,27,1,27,9,18,0,0,0
3,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18,0,0,1
4,T Boult,27,27,98.5,1,854,39,21.89,8.64,15.2,1,0,1
5,W Sundar,18,18,63,1,417,15,27.8,6.61,25.2,0,0,1
6,S Ahmed,17,-,-,-,-,-,-,-,-,-,-,0
7,H Patel,7,5,13,0,104,2,52,8,39,0,0,0
8,M Siraj,3,3,12,0,148,3,49.33,12.33,24,0,0,0
9,Y Chahal,36,36,140.3,1,1139,52,21.9,8.1,16.2,2,1,0
